X,Y,ID,SWID,IsSWFacility,Name,Type,Recycling,Trash,EWaste,HHW,FoodScraps,CD,CleanWood,LeafYardDebris,MaterialSpecifics,Address,Town,State,Zip,County,MailingAddress,MailingCity,MailingState,MailingZip,Telephone,Email,Website,Active,LastVisitDate,Latitude,Longitude
464383.572980555,30283.8573797461,31,BN612,Yes,Readsboro Recycling Center,Transfer Station,YES,NO,NO,NO,NO,,NO,NO,,610 Phelps Rd,Readsboro,VT,05350,Bennington,,,,,802-423-7010,,,1,2024/10/16 00:00:00+00,42.77179826,-72.93522765
443138.235859522,47279.091643896,33,BN070,Yes,Long Trail Compost Facility,Food Scraps Management Facility,NO,NO,NO,NO,YES,NO,WOOD CHIPS ONLY,NO,,639 North Road,Shaftsbury,VT,05262,Bennington,,,,,802-447-1300,,,1,2022/08/29 00:00:00+00,42.9235368318227,-73.1964862346649
443001.028598768,51401.8871732346,35,BN980,Yes,TAM Transfer Station,Transfer Station,YES,YES,NO,NO,YES,YES,YES,YES,,Airport Road ,Shaftsbury,VT,05262,Bennington,,,,,802-688-8845,,,1,2024/07/09 00:00:00+00,42.96059909,-73.19858683
452745.300684928,29053.9469517721,36,BN762,Yes,Stamford Transfer Station,Transfer Station,YES,YES,YES,NO,YES,YES,YES,YES,,610 Mill Road,Stamford,VT,05352,Bennington,,,,,802-694-1361,,,1,2024/10/16 00:00:00+00,42.76011765,-73.07730229
451723.677973044,68743.6117064599,37,BN771,Yes,Manchester/Sunderland Transfer Station (Casella),Transfer Station,YES,YES,YES,YES,YES,YES,YES,YES,,4561 Sunderland Hill Road,Sunderland,VT,05250,Bennington,,,,,802-223-7221,,,1,2023/02/16 00:00:00+00,43.117306,-73.093224
466136.537279597,73556.1066730734,38,BN961,Yes,Winhall Transfer Station,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,66 Old Town Rd,Winhall,VT,05340,Bennington,,,,,802-297-2122,,,1,2022/10/05 00:00:00+00,43.1614005,-72.91639427
536961.288946474,207345.316973892,39,CA071,Yes,Barnet Transfer Station,Transfer Station,YES,YES,YES,YES,YES,,NO,NO,,900 Town Forest Road,Barnet,VT,05821,Caledonia,P.O. Box 15,Barnet,VT,05821,802-633-2256,,http://www.barnetvt.org/transferstation.php,1,2023/05/22 00:00:00+00,44.3654341552427,-72.0363128185272
541346.401056861,238452.631005187,41,CA400,Yes,Town of Burke,Recycling Center,YES,NO,YES,NO,NO,,NO,NO,,212 School Street,Burke,VT,05871,Caledonia,,,,,802-467-3954,,,1,2023/05/22 00:00:00+00,44.64514684,-71.97875321
528647.246109481,212826.127971643,42,CA112,Yes,Danville Recycling Facility,Recycling Center,YES,NO,YES,NO,NO,,NO,NO,,279 Highland Ave,Danville,VT,05828,Caledonia,,,,,802-684-3352,,,1,2022/05/10 00:00:00+00,44.41513028,-72.14027646
513415.928972104,222322.007691924,44,CA144,Yes,Hardwick/All Metals Recycling & Salvage Transfer Station,Transfer Station,YES,YES,NO,YES,YES,,YES,NO,,2141 Vermont Route 15,Hardwick,VT,05843,Caledonia,,,,,802-472-5155,,,1,2021/01/26 00:00:00+00,44.501020311703,-72.33128875494
538645.485147954,231079.504225857,46,CA045,Yes,Kingdom View Compost,Food Scraps Management Facility,NO,NO,NO,NO,YES,,WOOD CHIPS ONLY,YES,,2586 Pudding Hill Road,Lyndon,VT,05851,Caledonia,,,,,802-626-3265,,,1,,44.5789275,-72.01336012
539642.095791283,226551.686930794,47,CA384,Yes,Northeast Kingdom Waste Management District,Hazardous Waste,,,,,,,,,,224 Church Street,Lyndonville,VT,,Caledonia,,,,,802-626-3532,,,1,2022/09/01 00:00:00+00,44.5380758492242,-72.0012080669403
543479.708772497,243278.392894595,48,CA511,Yes,Newark Transfer Station,Transfer Station,YES,YES,NO,YES,YES,,NO,YES,,1354 Newark St,Newark,VT,05871,Caledonia,,,,,802-467-3336,,,1,2023/05/22 00:00:00+00,44.68839144,-71.95150433
526359.035223456,205538.273292131,49,CA571,Yes,Peacham Transfer Station,Transfer Station,YES,YES,YES,YES,YES,,NO,NO,,750 E Peacham Rd,Peacham,VT,05862,Caledonia,,,,,802-592-3218,,,1,2023/08/02 00:00:00+00,44.34963555,-72.16937667
534818.595644072,189032.568446072,50,CA040,Yes,Ryegate/Groton Recycling & Transfer Station,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,269 School Street,Ryegate,VT,05042,Caledonia,,,,,802-584-3880,,,1,2023/03/03 00:00:00+00,44.20070781,-72.06440841
537896.985897695,212306.616923807,51,CA721,Yes,St. Johnsbury Transfer Station,Transfer Station,YES,YES,YES,NO,YES,,YES,YES,,548 High Street,St. Johnsbury,VT,05819,Caledonia,,,,,,,,1,2024/08/07 00:00:00+00,44.4099544,-72.0242111
543535.665048141,208830.398594098,52,CA051,Yes,Waterford Transfer Station & Recycling Center,Transfer Station,YES,YES,YES,YES,YES,,NO,NO,,2727 Duck Pond Rd,Waterford,VT,05848,Caledonia,,,,,8002-748-2122,,,1,2023/03/03 00:00:00+00,44.37839906,-71.95367871
532683.592144761,232124.594727057,53,CA921,Yes,Wheelock/Sheffield Transfer Station,Transfer Station,YES,YES,NO,NO,YES,,NO,NO,,Route 122,Wheelock,VT,05851,Caledonia,,,,,802-626-9094,,,1,2024/06/17 00:00:00+00,44.5885922,-72.08844957
443069.333523544,219101.427529242,54,CH056,Yes,Burlington Drop Off -CSWD,Transfer Station,YES,YES,YES,NO,YES,,NO,YES,,339 Pine Street,Burlington,VT,05401,Chittenden,,,,,802-863-3827,,,1,2024/05/18 00:00:00+00,44.46987849,-73.21552723
443672.409663119,221663.194081438,55,N/A,No,McNeil Wood & Yard Waste Depot,Transfer Station,NO,NO,NO,NO,NO,,YES,YES,,111 Intervale Rd,Burlington,VT,05401,Chittenden,,,,,,,,1,,44.49302196,-73.2081527
445553.017534442,223969.709088585,56,CH172,Yes,Myers Recycling Facility,Recycling Center,YES,YES,NO,NO,NO,,YES,YES,,216 Red Can Drive,Colchester,VT,05446,Chittenden,,,,,802-655-4312,,,1,2022/12/01 00:00:00+00,44.5139128651879,-73.1848400831223
449613.459816788,223625.802207572,58,CH224,Yes,Gauthier Trucking Recycling Facility,Recycling Center,YES,NO,NO,NO,NO,,NO,NO,,5 Gauthier Drive,Essex Junction,VT,05452,Chittenden,,,,,802-879-4020,,,1,2023/12/13 00:00:00+00,44.5111433108213,-73.1337171792984
450439.5509841,224552.898580507,59,CH211,Yes,Essex Drop Off - CSWD,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,218 Colchester Road,Essex,VT,05451,Chittenden,,,,,802-872-8100,,,1,2023/08/01 00:00:00+00,44.5194879728395,-73.1233504414558
454124.220930561,202434.758505301,60,CH200,Yes,Hinesburg Transfer Station - CSWD,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,907 Beecher Hill Road,Hinesburg,VT,05461,Chittenden,,,,,802-872-8100,,,1,2024/03/14 00:00:00+00,44.32072582,-73.07511275
449934.412117052,236347.261007389,61,CH451,Yes,Milton Drop Off - CSWD ,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,36 Landfill Road,Milton,VT,05468,Chittenden,,,,,802-872-8100,,,1,2023/12/13 00:00:00+00,44.625568,-73.13093495
458843.542126046,214559.90575214,62,CH611,Yes,Richmond Drop Off - CSWD,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,80 Rogers Lane,Richmond,VT,05477,Chittenden,,,,,802-872-8100,,,1,2023/08/01 00:00:00+00,44.43008175,-73.01685468
446478.303791081,220461.562343467,64,CH080,Yes,CSWD Environmental Depot,Hazardous Waste,YES,YES,YES,YES,NO,,NO,NO,,1011 Airport Parkway,South Burlington ,VT,05403,Chittenden,,,,,802-863-0480,,,1,2023/06/01 00:00:00+00,44.48243848,-73.1727614
446411.093268152,220028.72685139,65,CH771,Yes,South Burlingon Drop Off - CSWD,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,87 Landfill Road,South Burlington ,VT,05403,Chittenden,,,,,802-872-8100,,,1,2023/01/12 00:00:00+00,44.47848173,-73.17361472
453647.605225561,219539.760235176,66,CH940,Yes,Green Mountain Compost (CSWD Composting Facility),Food Scraps Management Facility,NO,NO,NO,NO,YES,,WOOD CHIPS ONLY,YES,,1021 Redmond Road,Williston,VT,05495,Chittenden,,,,,802-660-4949,,https://www.greenmountaincompost.com/,1,2021/04/27 00:00:00+00,44.47457183,-73.08257946
450075.415419464,218543.847501252,67,CH954,Yes,CSWD Materials Recovery Facility,Recycling Center,YES,NO,NO,NO,NO,,NO,NO,,357 Avenue C,Williston,VT,05495,Chittenden,1021 Redmond Road,Williston,VT,05495,802-872-8100,,www.cswd.net,1,2021/06/24 00:00:00+00,44.4653960344317,-73.1274354457855
450057.96596279,218343.95813128,68,CH045,Yes,"All Cycle Waste, Inc. Transfer Station",Transfer Station,YES,YES,NO,NO,NO,YES,YES,NO,,220 Avenue B,Williston,VT,05495,Chittenden,,,,,802-864-3615,,,1,2023/11/07 00:00:00+00,44.46355955,-73.12756489
454302.349533201,219868.498227872,70,CH930,Yes,CSWD - Williston Transfer Station,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,1492 Redmond Rd,Williston,VT,05495,Chittenden,,,,,802-872-8100,,,1,2024/09/24 00:00:00+00,44.4775539053407,-73.0744457244873
454279.73184676,220046.454284172,71,CH955,Yes,Burlington Area Transfer Station,Transfer Station,YES,YES,NO,NO,YES,,NO,YES,,1496 Redmond Rd,Williston,VT,05495,Chittenden,,,,,802-244-1100,,,1,2022/12/15 00:00:00+00,44.47915413,-73.07472996
548181.934342182,257936.376390411,72,ES410,Yes,Brighton Recycling Facility,Recycling Center,YES,NO,NO,NO,NO,YES,YES,YES,,621 Railroad Street,Brighton,VT,05846,Essex,,,,,802-626-3532,,https://brightonvt.org/waste-management-services/,1,2024/06/17 00:00:00+00,44.8200205736505,-71.8907922506332
578236.258808974,268612.541848639,73,ES900,Yes,Canaan Transfer Station,Transfer Station,YES,YES,YES,YES,YES,,NO,NO,,186 Route 102,Canaan,VT,05903,Essex,,,,,802-266-3370,,,1,2024/06/19 00:00:00+00,44.91344726,-71.50919996
549543.877017066,216285.126531952,74,ES101,Yes,Concord Transfer Station,Transfer Station,YES,YES,YES,YES,YES,,NO,NO,,100 Brook Rd,Concord,VT,05824,Essex,,,,,802-695-2220,,,1,2023/11/14 00:00:00+00,44.4450979265143,-71.8775635957718
548236.242875085,237955.821557605,75,ES061,Yes,East Haven Drop Off,Transfer Station,YES,YES,YES,YES,YES,,NO,YES,,58 Community Building Rd,East Haven,VT,05837,Essex,,,,,802-467-3772,,,1,2022/05/10 00:00:00+00,44.64018012,-71.89197642
566591.900832447,218248.524044816,76,ES391,Yes,Lunenburg Transfer Station,Transfer Station,YES,YES,YES,YES,YES,,NO,YES,,47 Transfer Station Rd,Lunenburg,VT,05906,Essex,,,,,802-892-5959,,,1,2022/07/13 00:00:00+00,44.4613775,-71.66322175
555350.802712727,278642.882902689,77,ES033,Yes,Norton Drop Off,Transfer Station,YES,YES,YES,YES,YES,,NO,NO,,249 Rt 114 S,Norton,VT,05907,Essex,,,,,802-822-9935,,,1,2020/03/04 00:00:00+00,45.00578456,-71.79789073
476291.139292607,254176.845767107,78,N/A,No,Bakersfield Transfer Station,Transfer Station,YES,YES,YES,NO,YES,,NO,NO,,380 Main St,Bakersfield,VT,05441,Franklin,,,,,,,,1,,44.787429,-72.79962
460513.829565364,246864.344142718,79,FR560,Yes,Clokey/Crawford Compost Facility,,NO,NO,NO,NO,NO,,NO,NO,animal offal or carcasses only,720 Buck Hollow Road,Fairfax,VT,05454,Franklin,,,,,802-782-4833,,,1,,44.7208807843076,-72.9983997344971
456243.428811138,271262.63774003,81,FR311,Yes,Casella Transfer Station - Highgate,Transfer Station,YES,YES,YES,YES,YES,,NO,YES,,2 Transfer Station Road,Highgate,VT,05459,Franklin,,,,,802-223-7221,,,1,2023/09/01 00:00:00+00,44.94015494,-73.05438125
491522.190826776,264273.337031746,83,FR550,Yes,Montgomery Drop Off,Transfer Station,YES,YES,YES,NO,YES,,YES,YES,,86 Mountain Rd,Montgomery Center,VT,05471,Franklin,,,,,802-524-5986,,,1,2023/04/20 00:00:00+00,44.87858586,-72.60732622
453668.485195876,258978.510811574,84,FR540,Yes,St. Albans City Drop Off,Transfer Station,YES,YES,NO,NO,YES,,NO,YES,,83 Rewes Drive,St. Albans,VT,05478,Franklin,,,,,802-524-5986,,,1,2024/05/16 00:00:00+00,44.8294869175808,-73.0859470367432
453250.7058446,261337.505338091,85,FR580,Yes,Hudak Farm Composting Facility,,,,,,YES,,YES,,,599 Route 7,Swanton,VT,05488,Franklin,,,,,802-527-7956,,,1,2020/12/21 00:00:00+00,44.8506512028972,-73.0913758277893
438917.347003347,273693.93394194,86,GI011,Yes,Alburg Transfer Station,Transfer Station,YES,YES,YES,YES,YES,YES,YES,YES,,260 Dump Road,Alburgh,VT,05440,Grand Isle,,,,,802-796-6078,,alburghtransferstation.com,1,2023/08/22 00:00:00+00,44.9608232,-73.2742027
434516.145736368,242808.339812226,87,GI251,Yes,Grand Isle Transfer Station,Transfer Station,YES,YES,NO,YES,YES,,YES,YES,,22 Hanson Lane,Grand Isle,VT,05458,Grand Isle,,,,,8002-372-8830,,,1,2023/08/31 00:00:00+00,44.682533,-73.326019
435781.669026877,254431.339930354,88,GI421,Yes,North Hero Drop Off,Transfer Station,YES,YES,YES,NO,YES,,YES,YES,,362 West Shore Road,North Hero,VT,05474,Grand Isle,,,,,802-372-4812,,http://www.nwswd.org/index.php?option=com_content&task=view&id=37,1,2023/03/29 00:00:00+00,44.787154,-73.3114931
466385.257393595,237841.095864272,89,LA121,Yes,Cambridge Transfer Station,Transfer Station,YES,YES,NO,NO,YES,,NO,NO,,rt 104,Cambridge,VT,05444,Lamoille,,,,,802-223-7045,,,1,2022/10/31 00:00:00+00,44.63995584,-72.92365072
497377.244877208,245810.603274329,90,LA950,Yes,Lamoille District Transfer Station,Transfer Station,YES,YES,NO,NO,YES,,NO,NO,,3625 Vermont 100,Eden Mills,VT,05653,Lamoille,,,,,802-888-7317,,,1,,44.712464048711,-72.5331437587738
490782.316594604,233015.48068043,91,LA050,Yes,Hyde Park Recycle Drop-off Depot,Transfer Station,YES,YES,YES,NO,YES,,NO,NO,,Rt 100,Hyde Park,VT,05655,Lamoille,,,,,802-223-7221,,,1,2024/09/18 00:00:00+00,44.59726092,-72.61605193
490704.451579529,239605.052505388,92,LA331,Yes,Lamoille District Transfer Station,Transfer Station,YES,YES,YES,NO,YES,YES,YES,YES,,941 Wilson Rd,Johnson,VT,05656,Lamoille,,,,,802-635-9246,,,1,2023/01/24 00:00:00+00,44.6565501455554,-72.6172256469727
489929.356441391,225682.858898995,93,LA931,Yes,Lamoille Regional Solid Waste Management District (Morrisville),Transfer Station,YES,YES,YES,NO,YES,NO,NO,NO,,832 Cochran Road,Morrisville,VT,,Lamoille,,,,,802-888-7317,,,1,2022/05/19 00:00:00+00,44.531296,-72.626694
477014.358445551,226049.090761326,95,LA771,Yes,Lamoille District Transfer Station,Transfer Station,YES,YES,YES,NO,YES,YES,YES,YES,,370 Mountain Road,Stowe,VT,05672,Lamoille,,,,,802-253-7350,,,1,2023/12/20 00:00:00+00,44.5343118,-72.7891521
501930.764357191,228031.057113123,97,LA921,Yes,Wolcott Transfer Station,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,Gulf Rd,Wolcott,VT,05680,Lamoille,,,,,802-888-2746,,,1,2022/10/31 00:00:00+00,44.55248781,-72.47573207
530299.40054238,167020.968096903,98,OG093,Yes,Bradford Recycling Depot,Recycling Center,YES,NO,NO,NO,NO,,NO,NO,,143 Fairground Road,Bradford,VT,05033,Orange,,,,,802-222-4727,,,1,2020/04/30 00:00:00+00,44.00278602,-72.12219345
504626.39497723,168553.151910098,99,OG131,Yes,Chelsea Transfer Station,Transfer Station,YES,YES,NO,YES,YES,,NO,NO,,72 Washington Turnpike,Chelsea,VT,05038,Orange,,,,,802-685-4460,,,1,2023/02/28 00:00:00+00,44.0171617293612,-72.4423080682755
517945.164742893,168264.781476128,100,OG170,Yes,Cookeville Compost,Food Scraps Management Facility,NO,NO,NO,NO,YES,,WOOD CHIPS ONLY,YES,,587 Abe Jacobs Road,Corinth,VT,05039,Orange,,,,,802-439-5563,,,1,2020/04/30 00:00:00+00,44.01441705,-72.27624621
519993.482807671,172370.61596121,101,OG102,Yes,Corinth Recycling Facility,Recycling Center,YES,NO,YES,NO,YES,,NO,NO,,2628 Goose Green Rd,Corinth,VT,05039,Orange,,,,,802-439-5850,,,1,2019/09/23 00:00:00+00,44.0513389348467,-72.2504695353784
527699.870417675,155743.082205919,102,OG950,Yes,Fairlee Transfer Station,Transfer Station,YES,YES,NO,YES,YES,,NO,NO,,Dump Rd,Fairlee,VT,05045,Orange,,,,,802-333-9653,,,1,2023/02/28 00:00:00+00,43.90135906,-72.15523533
535322.11989181,175623.758461908,103,OG083,Yes,Newbury Recycling Center,Recycling Center,YES,NO,NO,NO,NO,,NO,NO,,26 Cross Street,Newbury,VT,05051,Orange,,,,,802-866-5521,,,1,2023/02/28 00:00:00+00,44.0800362483377,-72.0590230822563
487556.260529018,155863.61092867,104,OG671,Yes,Randolph Transfer Station,Transfer Station,YES,YES,YES,NO,YES,,NO,NO,,Landfill Road,Randolph,VT,05060,Orange,,,,,802-223-7221,,,1,2023/07/19 00:00:00+00,43.90286382,-72.65493895
511532.578736312,148551.184903609,105,OG200,Yes,Strafford Drop Off,Recycling Center,YES,NO,NO,YES,NO,,NO,NO,,159 VT Rt 132,Strafford,VT,05072,Orange,,,,,802-765-4411,,,1,2022/01/06 00:00:00+00,43.83710228,-72.35655326
520304.871997548,149161.037899228,106,OG010,Yes,Thetford Drop Off,Transfer Station,YES,YES,NO,NO,YES,,NO,NO,,4659 Vermont Route 113,Thetford,VT,05074,Orange,,,,,802-785-2922,,http://www.thetfordvermont.us/departments/recycling-center/,1,2024/01/19 00:00:00+00,43.8424047381137,-72.247542142868
499485.428761438,150252.229890473,107,OG841,Yes,Tunbridge Transfer Station,Transfer Station,YES,YES,NO,NO,YES,,NO,NO,,Rt 110,Tunbridge,VT,05077,Orange,,,,,802-889-5521,,,1,2024/04/18 00:00:00+00,43.85248312,-72.50637932
514186.973310959,163377.979475254,108,OG011,Yes,Vershire Drop Off,Transfer Station,YES,YES,NO,NO,NO,,NO,NO,,6894 Rt 113,Vershire,VT,05079,Orange,,,,,802-685-2227,,,1,,43.97048896,-72.32322851
496477.389918052,178507.884378244,110,OG941,Yes,Williamstown Trash Depot,Transfer Station,YES,YES,YES,NO,YES,,NO,YES,,2470 VT Rt 14,Williamstown,VT,05679,Orange,PO Box 646,Williamstown,VT,05679,802-8390-0064 or 802-476-5735,,http://williamstownvt.org/transfer-station/,1,2020/01/29 00:00:00+00,44.1067832336218,-72.5439808341113
509379.112877715,247594.847730269,111,OL030,Yes,Albany Drop Off Center,Transfer Station,YES,NO,NO,NO,NO,,NO,NO,,1030 Main St,Albany,VT,05820,Orleans,,,,,802-755-6100,,,1,2022/05/10 00:00:00+00,44.72846322,-72.38155638
509702.107154127,248784.340165792,112,OL050,Yes,KNS Tire Transfer Station,Transfer Station,NO,NO,NO,NO,NO,,NO,NO,tires only,260 Main Street,Albany,VT,05820,Orleans,,,,,802-755-9278,,,1,2021/02/17 00:00:00+00,44.73919819,-72.37745788
522680.927312259,253939.778647248,113,OL071,Yes,Barton Recycling Center,Recycling Center,YES,NO,NO,NO,NO,,NO,NO,,May Farm Rd,Barton,VT,05822,Orleans,,,,,802-525-3033,,,1,2022/02/01 00:00:00+00,44.78532553,-72.21340293
529066.033994,256010.165350088,114,OL060,Yes,Brownington Recycling Center,Recycling Center,YES,NO,NO,NO,NO,,NO,NO,,645 Evansville Road,Brownington,VT,05860,Orleans,,,,,802-754-8401,,,1,2022/02/01 00:00:00+00,44.80365449,-72.1325596
521992.942147522,267639.242923986,115,OL510,Yes,NEWSVT Inc. (New England Waste Services of VT Inc),Transfer Station,YES,YES,NO,NO,YES,,NO,NO,,21 Landfill Lane,Coventry,VT,05825,Orleans,,,,,802-334-8300,,,1,2024/08/23 00:00:00+00,44.90860132,-72.22148249
510187.290171912,237428.420814003,116,OL100,Yes,Lamoille District Transfer Station,Transfer Station,YES,YES,NO,NO,YES,NO,NO,NO,,Creek Road,Craftsbury,VT,05826,Orleans,,,,,802-888-7317,,,1,2021/02/17 00:00:00+00,44.6369560781307,-72.3716023564339
528628.185645146,272555.109304607,117,OL960,Yes,Derby Drop Off,Transfer Station,YES,NO,NO,YES,YES,,NO,NO,,3427 US Route 5,Derby,VT,05829,Orleans,,,,,802-766-4906,,,1,2021/02/17 00:00:00+00,44.95259965,-72.13715311
